"Region","Maternal_Mortality","Infant_Mortality","Life_Expectancy"
"Africa",292.12962962963,39.5685185185185,67.0685185185185
"Australia and Oceania",94.7142857142857,14.8428571428571,75.4928571428571
"Central America and the Caribbean",69.2380952380952,13.2238095238095,76.5428571428571
"Central Asia",18.1111111111111,17.1222222222222,73.8222222222222
"East and Southeast Asia",77.6470588235294,16.0764705882353,75.5823529411765
"Europe",7,4.01904761904762,80.1238095238095
"Middle East",22.9375,12.93125,77.1625
"North America",23.6666666666667,7.03333333333333,79.9
"South America",73.3333333333333,14.325,75.325
"South Asia",138.75,27.7125,71.125
