"Country","Region","Maternal_Mortality","Infant_Mortality","Life_Expectancy"
"Afghanistan","South Asia",521,42,54.4
"Albania","Europe",7,10.8,79.9
"Algeria","Africa",62,18.6,77.9
"Andorra","Europe",11,3.3,83.8
"Angola","Africa",183,46.1,62.9
"Antigua and Barbuda","Central America and the Caribbean",35,13.3,78.3
"Argentina","South America",33,7.4,78.8
"Armenia","Central Asia",19,11.3,76.7
"Australia","Australia and Oceania",2,3,83.5
"Austria","Europe",6,3.2,82.7
"Azerbaijan","Central Asia",18,10.7,75.9
"Bahamas, The","Central America and the Caribbean",76,9.2,76.7
"Bahrain","Middle East",17,9.6,80.4
"Bangladesh","South Asia",115,22,75.2
"Barbados","Central America and the Caribbean",35,15.1,79
"Belarus","Europe",1,2.1,74.7
"Belgium","Europe",4,3,82.3
"Belize","Central America and the Caribbean",67,11.3,74.3
"Benin","Africa",518,51.6,63
"Bhutan","South Asia",47,23,73.7
"Bolivia","South America",146,22.1,72.5
"Bosnia and Herzegovina","Europe",6,3.8,78.5
"Botswana","Africa",155,27.8,66.4
"Brazil","South America",67,12.7,76.3
"Brunei","East and Southeast Asia",36,9.8,78.9
"Bulgaria","Europe",6,7.5,76.1
"Burkina Faso","Africa",242,48,64.2
"Burma","East and Southeast Asia",185,30.8,70.3
"Burundi","Africa",392,35.3,68.1
"Cabo Verde","Africa",40,21.9,74.3
"Cambodia","East and Southeast Asia",137,27.2,71.4
"Cameroon","Africa",258,44.6,64.2
"Canada","North America",12,3.8,84.2
"Central African Republic","Africa",692,79.3,56.4
"Chad","Africa",748,61.1,60
"Chile","South America",10,4.5,80.3
"China","East and Southeast Asia",16,6,78.7
"Colombia","South America",59,11.6,74.9
"Comoros","Africa",179,53.9,67.8
"Congo, Democratic Republic of the","Africa",427,55.8,62.6
"Congo, Republic of the","Africa",241,29.9,72.9
"Cook Islands","Australia and Oceania",0,14.8,77.6
"Costa Rica","Central America and the Caribbean",24,6.3,80.3
"Cote d'Ivoire","Africa",359,52.3,63.2
"Croatia","Europe",3,3.4,77.7
"Cuba","Central America and the Caribbean",35,5.2,80.1
"Cyprus","Europe",14,7.9,80.2
"Czechia","Europe",3,2.5,78.6
"Denmark","Europe",4,3.1,82.1
"Djibouti","Africa",162,44.3,65.9
"Dominica","Central America and the Caribbean",36,10.5,78.7
"Dominican Republic","Central America and the Caribbean",124,20.8,72.6
"Ecuador","South America",55,11.2,74.9
"Egypt","Africa",17,16.4,75
"El Salvador","Central America and the Caribbean",39,10,75.9
"Equatorial Guinea","Africa",174,76.9,63.9
"Eritrea","Africa",291,39,67.5
"Estonia","Europe",5,2,78.4
"Eswatini","Africa",118,38,60.7
"Ethiopia","Africa",195,31.3,67.7
"Fiji","Australia and Oceania",30,9.4,74.8
"Finland","Europe",8,1.9,82.2
"France","Europe",7,3.1,82.6
"Gabon","Africa",233,26,70.4
"Gambia, The","Africa",354,35,68.4
"Gaza Strip","Middle East",16,14.2,75.5
"Georgia","Central Asia",20,20.9,72.8
"Germany","Europe",4,3,81.9
"Ghana","Africa",234,30.5,70.1
"Greece","Europe",5,3.4,81.9
"Grenada","Central America and the Caribbean",48,8.8,76.3
"Guatemala","Central America and the Caribbean",94,23.4,73.5
"Guinea-Bissau","Africa",505,45.1,64.5
"Guinea","Africa",494,45.8,64.6
"Guyana","South America",75,20.6,72.4
